titles,author_journal,abstracts,n_citations,author,journal,page,year
"Gender, geography, and generations: Intergenerational educational mobility in post-reform India","MS Emran, F Shilpi - World Development, 2015 - Elsevier","… to uncover spatial differences in intergenerational mobility, we also estimate the sibling and
… This paper examines the trends in and patterns of intergenerational mobility in education …",115,"MS Emran, F Shilpi",World Development,Elsevier,2015
Childhood and intergenerational poverty: The long-term consequences of growing up poor,"RL Wagmiller, RM Adelman - 2009 - academiccommons.columbia.edu","… Intergenerational economic mobility is a key indicator of the degree of equality of … mobility
research challenging,9 social scientists have been studying intergenerational mobility for some …",154,"RL Wagmiller, RM Adelman",,academiccommons.columbia.edu,2009
"The role of non-cognitive and cognitive skills, behavioural and educational outcomes in accounting for the intergenerational transmission of worklessness",L Macmillan - 2013 - ideas.repec.org,"… the intergenerational mobility literature (… intergenerational transmission, with the vast majority
remaining unaccounted for. While cognition and education dominate the intergenerational …",24,L Macmillan,,ideas.repec.org,2013
Is social mobility really declining? Intergenerational class mobility in Britain in the 1990s and the 2000s,"Y Li, F Devine - Sociological Research Online, 2011 - journals.sagepub.com","… Blanden et al. examined changes in intergenerational mobility … They found that
intergenerational income mobility had fallen … They emphasised that intergenerational income …",85,"Y Li, F Devine",Sociological Research Online,journals.sagepub.com,2011
Intergenerational wealth mobility in rural Bangladesh,"MN Asadullah - Journal of Development Studies, 2012 - Taylor & Francis","… We use this sample to study intergenerational mobility. The second sample has repeated
data on adult sons. This comprises of 4048 male heads of households in 1996 who remained …",34,MN Asadullah,Journal of Development Studies,Taylor & Francis,2012
Income inequality and intergenerational income mobility in the United States,"D Bloome - Social Forces, 2015 - academic.oup.com","… Like many previous intergenerational mobility studies, this paper provides descriptive
evidence rather than testing specific theories about why inequality and mobility might relate. A …",109,D Bloome,Social Forces,academic.oup.com,2015
The impact of higher education expansion on intergenerational mobility,"H Zhong - Economics of Transition, 2017 - papers.ssrn.com","… Intergenerational mobility has long been the subject of … of higher education on intergenerational
mobility in China. Our … important implications to intergenerational mobility (Bauer and …",2,H Zhong,Economics of Transition,papers.ssrn.com,2017
Intergenerational occupational mobility in the late 19th century United States,"AM Guest, NS Landale, JC McCann - Social Forces, 1989 - academic.oup.com","… For the study of intergenerational mobility, we analyze the linked cases from the sample
aged 5-14 in 1880. Occupations of the boys' fathers were drawn from associated 1880 …",68,"AM Guest, NS Landale, JC McCann",Social Forces,academic.oup.com,1989
Moving towards estimating sons' lifetime intergenerational economic mobility in the UK,"P Gregg, L Macmillan, C Vittori - Oxford bulletin of economics …, 2017 - Wiley Online Library","… Overall, restricting the sample of individuals for whom we estimate intergenerational
mobility for in previous point in time estimates to those who are always in work attenuates our …",45,"P Gregg, L Macmillan, C Vittori",Oxford bulletin of economics …,Wiley Online Library,2017
Intergenerational Mobility of Middle Income Groups and the Role of Family in This Process,"YP Lezhnina - The Middle Income Group in China and Russia, 2021 - Springer","… It is worth mentioning that compared to upward mobility the downward one has a wider …
of this mobility. The main distance within which upward intergenerational mobility is realized …",NA,YP Lezhnina,The Middle Income Group in China and Russia,Springer,2021
Intergenerational social mobility in Mexico and its regions,"M Delajara, D Graña - Documento de trabajo, 2017 - ceey.org.mx","With data from the ESRU Social Mobility Survey (EMOVI) 2011 we run rank-rank
regressions to estimate relative and absolute upward intergenerational social mobility in the …",16,"M Delajara, D Graña",Documento de trabajo,ceey.org.mx,2017
Intergenerational Mobility in Educational and Occupational Status: Evidence from Households of Pakistan,M Muhammad - 2018 - 173.208.131.244,"… status and investigates their mobility across the generations in … out the strength of mobility
in educational and occupational … Similarly, more downward mobility is observed for the sons …",1,M Muhammad,,173.208.131.244,2018
Intergenerational social mobility and popular explanations of poverty: A comparative perspective,"A Gugushvili - Social Justice Research, 2016 - Springer","This article explores the consequences of intergenerational social mobility on perceptions
of popular explanations of poverty. It is hypothesised that those who experience …",50,A Gugushvili,Social Justice Research,Springer,2016
A Comparative Study of Intergenerational Mobility: Shanghai and St. Petersburg,"L Lui - Sociological research, 2013 - Taylor & Francis","… and mobility in the period of the transformations. Income distribution, professional mobility, …
At this stage, the topic of intergenerational mobility was relegated to the background, …",1,L Lui,Sociological research,Taylor & Francis,2013
Trends in intergenerational earnings mobility,"A Fertig - Center for Research on Child Well-Being, Working …, 2001 - academia.edu","This paper examines the trend in intergenerational earnings mobility by estimating ordinary
least squares, quantile regression, and transition matrix coefficients using five cohorts from …",51,A Fertig,"Center for Research on Child Well-Being, Working …",academia.edu,2001
Would equal opportunity mean more mobility?,"C Jencks, L Tach - Mobility and inequality: Frontiers of research …, 2006 - books.google.com","… intergenerational mobility would probably find that they, too, want governments to be more
aggressive about removing obstacles to economic mobility… the intergenerational correlation of …",196,"C Jencks, L Tach",Mobility and inequality: Frontiers of research …,books.google.com,2006
The geography of intergenerational social mobility in Britain,"PA Longley, J van Dijk, T Lan - Nature communications, 2021 - nature.com","… mobility is typically framed by outcomes recorded for only a single, recent generation, ignoring
intergenerational … groups today experience different intergenerational outcomes and that …",4,"PA Longley, J van Dijk, T Lan",Nature communications,nature.com,2021
Inequality: A reassessment of the effect of family and schooling in America.,C Jencks - 1972 - ERIC,"… Estimating the heritability of IQ scores and path models of intergenerational mobility are
discussed in two appendices, and a layman's guide to statistical terms is provided in a third. A …",8252,C Jencks,,ERIC,1972
Parents' Country of Origin and Intergenerational Mobility of School Performance,M De Philippis - 2013 - iza.org,"… My paper suggests that intergenerational transmission of cultural values may also affect …
I suggest it has a strong intergenerational component and long run consequences. Some …",2,M De Philippis,,iza.org,2013
The intergenerational correlation of employment in Europe: a cross-country analysis,"JI Giménez-Nadal, JA Molina, J Velilla - Applied Economics Letters, 2022 - Taylor & Francis","… is then similar to the well-known intergenerational elasticities (eg Solon 2002; Black and
Devereux 2010), which capture intergenerational mobility in a single parameter. However, the …",8,"JI Giménez-Nadal, JA Molina, J Velilla",Applied Economics Letters,Taylor & Francis,2022
School Finance Equalization and Intergenerational Mobility: Does Equal Spending Lead to Equal Opportunities?,B Biasi - 2015 - russellsage.org,"… intergenerational mobility. … on intergenerational mobility.In this paper I estimate the causal
effect of inequality in public school expenditure across districts on intergenerational mobility of …",2,B Biasi,,russellsage.org,2015
